FID,STATS_FID,SRC_NAME,SRC_CODE,TOT_AREA_SRC,TRG_NAME,TRG_CODE,TOT_AREA_TRG,AREA,OV_SRC,OV_TRG
statistical.53,1260342129467,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Solomon Islands Exclusive Economic Zone,131.9234121191,131.9234121191,5.2043256619,100
statistical.54,1260342129466,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Vanuatu Exclusive Economic Zone,54.1960908759,54.1960908759,2.138014034,100
statistical.55,1260342129465,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,New Caledonian Exclusive Economic Zone,124.2001836099,111.0449419404,4.3806783927,89.408033638
statistical.56,1260342129464,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Thailand Exclusive Economic Zone,25.2464779794,15.4821806527,0.6107658131,61.3241207953
statistical.57,1260342129463,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Cambodian Exclusive Economic Zone,3.961546628,3.961546628,0.1562814245,100
statistical.58,1260342129462,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Spratly Islands Exclusive Economic Zone,36.2937022811,36.2937022811,1.4317719889,100
statistical.59,1260342129461,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Paracel Islands Exclusive Economic Zone,24.7741866633,8.3256463186,0.3284434059,33.6061338025
statistical.60,1260342129460,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Tuvaluan Exclusive Economic Zone,61.6763572187,43.7634730927,1.7264514495,70.9566437873
statistical.61,1260342129459,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Fijian Exclusive Economic Zone,109.6054249608,84.3462830228,3.3274270137,76.9544783509
statistical.62,1260342129458,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Papua New Guinean Exclusive Economic Zone,196.3216723987,196.3216723991,7.7448111844,100.0000000002
statistical.63,1260342129457,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Australian Exclusive Economic Zone,642.419147892,182.6120281074,7.2039712193,28.4256826258
statistical.64,1260342129456,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Philippines Exclusive Economic Zone,152.4958030992,143.6876032088,5.668418279,94.2239722593
statistical.65,1260342129455,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Taiwanese Exclusive Economic Zone,29.7893130409,7.0547545191,0.2783072344,23.6821658473
statistical.66,1260342129454,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Northern Mariana Islands and Guam Exclusive Economic Zone,82.5971519583,62.5227046841,2.4664956069,75.695957066
statistical.67,1260342129453,fifao:FAO_MAJOR,71,2534.880034202,fifao:eez,Wake Island Exclusive Economic Zone,35.0523049467,21.2834774895,0.839624645,60.7191952763
